2025-01-08 16:02:27,469 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2025-01-08 16:02:28,058 | ERROR | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=READ_VOLUME {volume=vol1} | ret=FAILURE | VOLUME_NOT_FOUND org.apache.hadoop.ozone.om.exceptions.OMException: Volume vol1 is not found
	at org.apache.hadoop.ozone.om.OzoneManager.getVolumeOwner(OzoneManager.java:2567)
	at org.apache.hadoop.ozone.om.OzoneManager.getVolumeOwner(OzoneManager.java:2539) 
2025-01-08 16:02:28,175 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=CREATE_VOLUME {admin=testuser, owner=testuser, volume=vol1, creationTime=1736352148100, modificationTime=1736352148100, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854775552, updateID=1, Transaction=1} | ret=SUCCESS |  
2025-01-08 16:02:28,187 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=READ_VOLUME {volume=vol1} | ret=SUCCESS |  
2025-01-08 16:02:28,211 | ERROR | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=READ_BUCKET {volume=vol1, bucket=bucket1} | ret=FAILURE | BUCKET_NOT_FOUND org.apache.hadoop.ozone.om.exceptions.OMException: Bucket not found
	at org.apache.hadoop.ozone.om.OzoneManager.getBucketOwner(OzoneManager.java:2614)
	at org.apache.hadoop.ozone.om.OzoneManager.getBucketOwner(OzoneManager.java:2582) 
2025-01-08 16:02:28,240 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=CREATE_BUCKET {volume=vol1, bucket=bucket1, bucketLayout=FILE_SYSTEM_OPTIMIZED, gdprEnabled=null, acls=[user:testuser:a[ACCESS], group:testuser:rl[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1736352148234, bucketEncryptionKey=null, modificationTime=1736352148234, usedBytes=0, usedNamespace=0, owner=testuser, replicationType=null, replicationConfig=null, quotaInBytes=-1, quotaInNamespace=-1, Transaction=3} | ret=SUCCESS |  
2025-01-08 16:02:28,245 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=READ_VOLUME {volume=vol1} | ret=SUCCESS |  
2025-01-08 16:02:28,248 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=READ_BUCKET {volume=vol1, bucket=bucket1} | ret=SUCCESS |  
2025-01-08 16:02:28,272 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=READ_BUCKET {volume=vol1, bucket=bucket1} | ret=SUCCESS |  
2025-01-08 16:02:28,357 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=ALLOCATE_KEY {volume=vol1, bucket=bucket1, key=iViuXcoYYF/0, dataSize=10240, replicationType=NONE, Transaction=5} | ret=SUCCESS |  
2025-01-08 16:02:30,155 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=iViuXcoYYF/0, dataSize=10240, replicationType=RATIS, replicationFactor=THREE, Transaction=7} | ret=SUCCESS |  
2025-01-08 16:02:31,683 | INFO  | OMAudit | user=recon/recon@EXAMPLE.COM | ip=172.20.0.2 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2025-01-08 16:02:34,225 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2025-01-08 16:02:34,860 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=READ_VOLUME {volume=vol1} | ret=SUCCESS |  
2025-01-08 16:02:34,883 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=READ_BUCKET {volume=vol1, bucket=bucket1} | ret=SUCCESS |  
2025-01-08 16:02:35,067 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=READ_KEY {volume=vol1, bucket=bucket1, key=iViuXcoYYF/0, owner=null, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2025-01-08 16:02:35,161 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=READ_VOLUME {volume=vol1} | ret=SUCCESS |  
2025-01-08 16:02:35,176 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=READ_BUCKET {volume=vol1, bucket=bucket1} | ret=SUCCESS |  
2025-01-08 16:02:35,184 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=READ_KEY {volume=vol1, bucket=bucket1, key=iViuXcoYYF/0, owner=null, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2025-01-08 16:02:36,244 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=READ_VOLUME {volume=vol1} | ret=SUCCESS |  
2025-01-08 16:02:36,248 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=READ_BUCKET {volume=vol1, bucket=bucket1} | ret=SUCCESS |  
2025-01-08 16:02:36,253 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=READ_KEY {volume=vol1, bucket=bucket1, key=iViuXcoYYF/0, owner=null, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2025-01-08 16:02:49,466 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2025-01-08 16:02:50,300 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=CREATE_VOLUME {admin=testuser, owner=testuser, volume=57980-source, creationTime=1736352170296, modificationTime=1736352170296, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854772992, updateID=11, Transaction=11} | ret=SUCCESS |  
2025-01-08 16:02:52,669 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2025-01-08 16:02:53,511 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=CREATE_VOLUME {admin=testuser, owner=testuser, volume=57980-target, creationTime=1736352173508, modificationTime=1736352173508, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854772480, updateID=13, Transaction=13} | ret=SUCCESS |  
2025-01-08 16:02:56,096 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2025-01-08 16:02:56,852 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=READ_VOLUME {volume=57980-source} | ret=SUCCESS |  
2025-01-08 16:02:56,891 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=CREATE_BUCKET {volume=57980-source, bucket=readable-bucket, bucketLayout=FILE_SYSTEM_OPTIMIZED, gdprEnabled=null, acls=[user:testuser:a[ACCESS], group:testuser:rl[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1736352176888, bucketEncryptionKey=null, modificationTime=1736352176888, usedBytes=0, usedNamespace=0, owner=testuser, replicationType=null, replicationConfig=null, quotaInBytes=-1, quotaInNamespace=-1, Transaction=15} | ret=SUCCESS |  
2025-01-08 16:02:59,334 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2025-01-08 16:03:00,215 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=READ_VOLUME {volume=57980-source} | ret=SUCCESS |  
2025-01-08 16:03:00,247 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=READ_BUCKET {volume=57980-source, bucket=readable-bucket} | ret=SUCCESS |  
2025-01-08 16:03:00,266 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=READ_BUCKET {volume=57980-source, bucket=readable-bucket} | ret=SUCCESS |  
2025-01-08 16:03:00,295 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=ALLOCATE_KEY {volume=57980-source, bucket=readable-bucket, key=key-in-readable-bucket, dataSize=1062, replicationType=NONE, Transaction=17} | ret=SUCCESS |  
2025-01-08 16:03:01,828 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=COMMIT_KEY {volume=57980-source, bucket=readable-bucket, key=key-in-readable-bucket, dataSize=1062, replicationType=RATIS, replicationFactor=THREE, Transaction=19} | ret=SUCCESS |  
2025-01-08 16:03:04,714 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2025-01-08 16:03:05,562 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=READ_VOLUME {volume=57980-source} | ret=SUCCESS |  
2025-01-08 16:03:05,619 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=CREATE_BUCKET {volume=57980-source, bucket=unreadable-bucket, bucketLayout=FILE_SYSTEM_OPTIMIZED, gdprEnabled=null, acls=[user:testuser:a[ACCESS], group:testuser:rl[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1736352185614, bucketEncryptionKey=null, modificationTime=1736352185614, usedBytes=0, usedNamespace=0, owner=testuser, replicationType=null, replicationConfig=null, quotaInBytes=-1, quotaInNamespace=-1, Transaction=21} | ret=SUCCESS |  
2025-01-08 16:03:08,050 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2025-01-08 16:03:08,801 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=READ_VOLUME {volume=57980-target} | ret=SUCCESS |  
2025-01-08 16:03:08,860 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=CREATE_BUCKET {volume=57980-target, bucket=link-to-unreadable-bucket, bucketLayout=FILE_SYSTEM_OPTIMIZED, gdprEnabled=null, acls=[user:testuser:a[ACCESS], group:testuser:rl[ACCESS], world:WORLD:rw[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1736352188856, bucketEncryptionKey=null, modificationTime=1736352188856, sourceVolume=57980-source, sourceBucket=unreadable-bucket, usedBytes=0, usedNamespace=0, owner=testuser, replicationType=null, replicationConfig=null, quotaInBytes=-1, quotaInNamespace=-1, Transaction=23} | ret=SUCCESS |  
2025-01-08 16:03:11,623 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2025-01-08 16:03:12,505 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=ADD_ACL {resourceType=volume, storageType=ozone, volume=57980-target, bucket=null, key=null, acl=[user:testuser2:r[DEFAULT]], Transaction=25} | ret=SUCCESS |  
2025-01-08 16:03:15,257 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.6 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
