2023-01-24 21:58:35,625 [main] INFO  replication.ReplicationManager (ReplicationManager.java:start(262)) - Starting Replication Monitor Thread.
2023-01-24 21:58:35,641 [ReplicationMonitor] INFO  replication.ReplicationManager (ReplicationManager.java:processAll(331)) - Replication Manager is not ready to run until 0ms after safemode exit
2023-01-24 21:58:35,678 [main] INFO  replication.ReplicationManager (ReplicationManager.java:sendDatanodeCommand(428)) - Sending command [closeContainerCommand: containerID: 1, pipelineID: PipelineID=664241b6-46f4-438c-9d88-d4ebbc160fab, force: true] for container ContainerInfo{id=#1, state=CLOSED, pipelineID=PipelineID=664241b6-46f4-438c-9d88-d4ebbc160fab, stateEnterTime=1970-01-01T00:00:00Z, owner=Ozone} to 03fff675-00f8-4c43-aa62-a4baacdbeb66(localhost-76.125.218.160/76.125.218.160)
2023-01-24 21:58:35,737 [main] INFO  replication.ReplicationManager (ReplicationManager.java:start(262)) - Starting Replication Monitor Thread.
2023-01-24 21:58:35,745 [ReplicationMonitor] INFO  replication.ReplicationManager (ReplicationManager.java:processAll(331)) - Replication Manager is not ready to run until 0ms after safemode exit
2023-01-24 21:58:35,772 [main] INFO  replication.ReplicationManager (ReplicationManager.java:start(262)) - Starting Replication Monitor Thread.
2023-01-24 21:58:35,784 [main] INFO  replication.ReplicationManager (ReplicationManager.java:sendDatanodeCommand(428)) - Sending command [reconstructECContainersCommand: containerID: 1, replicationConfig: EC/ECReplicationConfig{data=3, parity=2, ecChunkSize=1048576, codec=rs}, sources: [e3689048-6a84-41a2-a1aa-a16832404bcf(localhost-166.113.233.47/166.113.233.47) replicaIndex: 1, 0c1b8110-85e7-4991-822d-5b8a6fa628c4(localhost-71.117.158.70/71.117.158.70) replicaIndex: 2, 9e9ba6fc-a11b-40fe-bb52-740473456fa1(localhost-146.129.234.29/146.129.234.29) replicaIndex: 3], targets: [ab25ae46-532a-4f10-a877-6e70a9f2897f(localhost-129.134.126.197/129.134.126.197), df024746-2222-4a6b-a311-a17759e3bb58(localhost-75.219.247.25/75.219.247.25)], missingIndexes: [4, 5]] for container ContainerInfo{id=#1, state=CLOSED, pipelineID=PipelineID=b4340ea2-0373-4787-9932-1dcbf948a987, stateEnterTime=1970-01-01T00:00:00Z, owner=Ozone} to ab25ae46-532a-4f10-a877-6e70a9f2897f(localhost-129.134.126.197/129.134.126.197)
2023-01-24 21:58:35,785 [ReplicationMonitor] INFO  replication.ReplicationManager (ReplicationManager.java:processAll(331)) - Replication Manager is not ready to run until 0ms after safemode exit
2023-01-24 21:58:35,813 [main] INFO  replication.ReplicationManager (ReplicationManager.java:start(262)) - Starting Replication Monitor Thread.
2023-01-24 21:58:35,817 [ReplicationMonitor] INFO  replication.ReplicationManager (ReplicationManager.java:processAll(331)) - Replication Manager is not ready to run until 0ms after safemode exit
2023-01-24 21:58:35,839 [main] INFO  replication.ReplicationManager (ReplicationManager.java:start(262)) - Starting Replication Monitor Thread.
