2023-03-15 10:37:37,845 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-1717673874]} | ret=SUCCESS |  
2023-03-15 10:37:38,788 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_BUCKET {bucket=[bucket-test123]} | ret=SUCCESS |  
2023-03-15 10:37:39,700 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=LIST_S3_BUCKETS {} | ret=SUCCESS |  
2023-03-15 10:37:41,222 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_KEY {bucket=[bucket-test123], path=[tmp1/tmp2/NOTICE.txt]} | ret=SUCCESS |  
2023-03-15 10:37:44,215 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=GET_BUCKET {bucket=[bucket-test123], encoding-type=[url]} | ret=SUCCESS |  
2023-03-15 10:37:45,296 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_KEY {bucket=[bucket-test123], path=[tmp3//tmp4/NOTICE.txt]} | ret=SUCCESS |  
2023-03-15 10:37:46,347 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=GET_BUCKET {bucket=[bucket-test123], encoding-type=[url]} | ret=SUCCESS |  
2023-03-15 10:37:47,287 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_KEY {bucket=[bucket-test123], path=[//tmp5/tmp6/NOTICE.txt]} | ret=SUCCESS |  
2023-03-15 10:37:48,304 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=GET_BUCKET {bucket=[bucket-test123], encoding-type=[url]} | ret=SUCCESS |  
2023-03-15 10:37:52,385 | ERROR | S3GAudit | user=dlfknslnfslf | ip=172.18.0.4 | op=CREATE_BUCKET {bucket=[bucket-test123]} | ret=FAILURE | org.apache.hadoop.ozone.s3.exception.OS3Exception
	at org.apache.hadoop.ozone.s3.exception.S3ErrorTable.newError(S3ErrorTable.java:142)
	at org.apache.hadoop.ozone.s3.endpoint.EndpointBase.createS3Bucket(EndpointBase.java:169) 
2023-03-15 10:38:24,704 | INFO  | S3GAudit | user=tenantone$testuser | ip=172.18.0.4 | op=CREATE_BUCKET {bucket=[bucket-test1]} | ret=SUCCESS |  
2023-03-15 10:38:25,492 | INFO  | S3GAudit | user=tenantone$testuser | ip=172.18.0.4 | op=LIST_S3_BUCKETS {} | ret=SUCCESS |  
2023-03-15 10:38:33,924 | INFO  | S3GAudit | user=tenantone$testuser | ip=172.18.0.4 | op=CREATE_KEY {bucket=[bucket-test1], path=[mykey]} | ret=SUCCESS |  
2023-03-15 10:38:34,867 | INFO  | S3GAudit | user=tenantone$testuser | ip=172.18.0.4 | op=HEAD_KEY {bucket=[bucket-test1], path=[mykey]} | ret=SUCCESS |  
2023-03-15 10:38:35,692 | INFO  | S3GAudit | user=tenantone$testuser | ip=172.18.0.4 | op=DELETE_KEY {bucket=[bucket-test1], path=[mykey]} | ret=SUCCESS |  
2023-03-15 10:38:59,467 | ERROR | S3GAudit | user=tenantone$testuser | ip=172.18.0.4 | op=DELETE_BUCKET {bucket=[bucket-test1]} | ret=FAILURE | org.apache.hadoop.ozone.s3.exception.OS3Exception
	at org.apache.hadoop.ozone.s3.exception.S3ErrorTable.newError(S3ErrorTable.java:142)
	at org.apache.hadoop.ozone.s3.endpoint.EndpointBase.deleteS3Bucket(EndpointBase.java:197) 
2023-03-15 10:39:01,194 | INFO  | S3GAudit | user=tenantone$testuser | ip=172.18.0.4 | op=DELETE_BUCKET {bucket=[bucket-test1]} | ret=SUCCESS |  
2023-03-15 10:39:24,552 | INFO  | S3GAudit | user=tenantone$testuser | ip=172.18.0.4 | op=CREATE_BUCKET {bucket=[bucket-test2]} | ret=SUCCESS |  
2023-03-15 10:39:25,996 | ERROR | S3GAudit | user=tenantone$testuser | ip=172.18.0.4 | op=DELETE_BUCKET {bucket=[bucket-test2]} | ret=FAILURE | org.apache.hadoop.ozone.s3.exception.OS3Exception
	at org.apache.hadoop.ozone.s3.exception.S3ErrorTable.newError(S3ErrorTable.java:142)
	at org.apache.hadoop.ozone.s3.endpoint.EndpointBase.deleteS3Bucket(EndpointBase.java:197) 
2023-03-15 10:39:27,465 | INFO  | S3GAudit | user=tenantone$testuser | ip=172.18.0.4 | op=DELETE_BUCKET {bucket=[bucket-test2]} | ret=SUCCESS |  
2023-03-15 10:39:33,647 | ERROR | S3GAudit | user=tenantone$testuser | ip=172.18.0.4 | op=CREATE_BUCKET {bucket=[bucket-test3]} | ret=FAILURE | org.apache.hadoop.ozone.s3.exception.OS3Exception
